ID,Bug_ID,Classification,Title,Bug Description,Status Code,Priority,Severity,AI Solution,,,
1,1,Authentication Error,JWT Login Blocked - 503 Service Unavailable Despite Valid Token,JWT is denying login and returning a 503 error even though authentication is successful and the user is active.,503,High,High,Check if the backend server is running and reachable. Verify ALLOWED_HOSTS in Django settings.,,,
2,1,Authentication Error,JWT Token Expiry Not Handled - Silent Logout on Frontend,JWT access token expires but the frontend does not catch the 401 response or trigger a refresh.,401,High,High,Add an Axios interceptor to catch 401 responses and automatically call the refresh token endpoint.,,,
3,1,Authentication Error,JWT Refresh Token Reuse After Invalidation,Refresh token continues to generate new access tokens even after the user has logged out.,200,High,High,Enable token blacklisting in simplejwt. Call BlacklistView on logout. Set ROTATE_REFRESH_TOKENS=True.,,,
4,1,Authentication Error,JWT Secret Key Mismatch Between Services,Backend microservices using different SECRET_KEY values causing token signature verification to fail.,401,High,Medium,Use a shared SECRET_KEY stored in environment variables and load consistently across all services.,,,
5,1,Authentication Error,JWT Token Not Attached to Request Headers,Frontend not correctly attaching the Bearer token in the Authorization header for protected API calls.,403,Medium,High,In Axios set default headers or use an interceptor to attach the token before every request.,,,
6,1,Authentication Error,JWT Algorithm Set to None - Security Vulnerability,JWT accepting tokens signed with none algorithm due to missing algorithm validation in decode configuration.,200,Critical,Critical,Explicitly set ALGORITHM=HS256 in simplejwt settings. Never allow none algorithm.,,,
7,1,Authentication Error,JWT Payload Contains Sensitive User Data,User email and password hash embedded directly in JWT payload without encryption.,200,High,High,Only store non-sensitive identifiers in JWT payload. Never include passwords or emails.,,,
8,1,Authentication Error,JWT Token Issued in Future - Clock Skew Issue,Server and client clocks out of sync causing iat timestamp to appear in the future.,401,Medium,Medium,Sync server time using NTP. Set LEEWAY in simplejwt settings to tolerate minor clock differences.,,,
9,1,Authentication Error,JWT Blacklist Not Enforced on Logout,After logout the invalidated JWT is still accepted because there is no token blacklist implemented.,200,High,High,Add token_blacklist to INSTALLED_APPS. Use simplejwt BlacklistView for logout endpoint.,,,
10,1,Authentication Error,JWT Role Claim Not Verified - Unauthorized Access to Admin Routes,Role claim inside JWT payload not validated on protected admin endpoints.,200,Critical,Critical,Create a custom permission class that reads the role claim. Apply custom HasRole permission on admin endpoints.,,,
11,2,Input Validation Error,JWT Login Blocked by IsAuthenticated on Login Endpoint,The login endpoint has permission_classes=[IsAuthenticated] causing unauthenticated users to get 401.,401,High,High,Change the login view to use permission_classes=[AllowAny].,,,
12,2,Input Validation Error,Global IsAuthenticated Setting Blocking Public Login Route,DEFAULT_PERMISSION_CLASSES set to IsAuthenticated globally protecting the login endpoint.,401,High,High,On every public endpoint explicitly override with permission_classes=[AllowAny] at the view level.,,,
13,2,Input Validation Error,JWT Token Not Generated Because Permission Check Fails Before Authentication,Server runs permission check before processing login credentials returning 403.,403,High,High,Set permission_classes=[AllowAny] on the login view. Also set authentication_classes=[].,,,
14,2,Input Validation Error,Login Returns 403 Instead of 401 Due to Wrong Permission Class,Login view uses IsAdminUser instead of AllowAny returning 403 to all regular users.,403,High,Medium,Replace IsAdminUser with AllowAny on the login endpoint.,,,
15,2,Input Validation Error,Inactive User Account Returns 200 But JWT Token Is Invalid,User with is_active=False passes AllowAny check and receives a token that is rejected on subsequent requests.,200,Medium,High,Explicitly check user.is_active before issuing a token. Return 403 with clear message.,,,
16,2,Input Validation Error,JWT Login Endpoint Accidentally Wrapped with IsAuthenticated Decorator,@permission_classes([IsAuthenticated]) decorator applied on login view overriding AllowAny.,401,High,High,Replace the decorator with @permission_classes([AllowAny]) on the login view function.,,,
17,2,Input Validation Error,AllowAny Set on Login View But JWT Authentication Class Still Rejects Request,AllowAny is set but DEFAULT_AUTHENTICATION_CLASSES includes JWTAuthentication globally.,401,High,High,On the login view also set authentication_classes=[] to bypass JWT authentication entirely.,,,
18,2,Input Validation Error,JWT Login Fails in Production Due to Missing AllowAny in Production Settings,Production settings override DEFAULT_PERMISSION_CLASSES without login endpoint override.,401,High,High,Always explicitly set permission_classes=[AllowAny] on the view itself not relying on settings defaults.,,,
19,2,Input Validation Error,JWT Login Fails After Middleware Enforces Authentication Before View Is Reached,Custom authentication middleware checks JWT on every request. Login endpoint never receives request.,403,High,High,Update middleware to whitelist public paths before applying JWT validation.,,,
20,2,Input Validation Error,Superuser Can Login But Normal Users Get 401 Due to Mixed Permission Classes,Login view has permission_classes=[IsAdminUser|IsAuthenticated] blocking non-admin users.,401,High,High,Replace mixed permission class with permission_classes=[AllowAny] on the login endpoint.,,,
21,3,Runtime/Logic Error,Expired JWT Token Not Properly Handled,The application fails to handle expired JWT tokens gracefully.,401,Medium,Medium,Catch token expiration exceptions and return HTTP 401.,,,
22,3,Runtime/Logic Error,Missing JWT Authentication Class,JWT authentication is not configured in the application settings.,400,High,High,Add the appropriate JWT authentication class.,,,
23,3,Runtime/Logic Error,Invalid JWT Signature Verification,JWT signatures are not properly verified before granting access.,401,Critical,Critical,Validate token signatures using the correct secret and algorithm.,,,
24,3,Runtime/Logic Error,Refresh Token Rotation Disabled,Refresh tokens remain valid after reuse.,400,Medium,Medium,Enable refresh token rotation and blacklisting.,,,
25,3,Runtime/Logic Error,JWT Secret Key Hardcoded in Source Code,Sensitive JWT secret is stored directly in source code.,400,Critical,Critical,Move secrets to environment variables.,,,
26,3,Runtime/Logic Error,Access Token Lifetime Too Long,Access tokens remain valid longer than necessary.,403,High,High,Reduce token expiration time.,,,
27,3,Runtime/Logic Error,Refresh Token Blacklisting Not Enabled,Revoked refresh tokens can still be reused.,400,High,High,Enable token blacklist functionality.,,,
28,3,Runtime/Logic Error,Unauthorized Access Due to Missing Permission Check,Protected endpoints lack permission enforcement.,401,Critical,Critical,Apply appropriate permission classes.,,,
29,3,Runtime/Logic Error,Incorrect JWT Header Format,Authorization header does not follow Bearer token format.,400,Low,Low,Use Authorization: Bearer token.,,,
30,3,Runtime/Logic Error,JWT Token Not Included in Authorization Header,Authenticated requests are sent without tokens.,400,Medium,Medium,Attach valid JWT tokens to requests.,,,
31,3,Runtime/Logic Error,User Authentication Bypass Through Anonymous Access,Anonymous users can access protected resources.,401,Critical,Critical,Restrict access using authentication checks.,,,
32,3,Runtime/Logic Error,Invalid Token Decoding Exception Unhandled,Token decoding errors cause server failures.,401,Medium,Medium,Handle token exceptions gracefully.,,,
33,3,Runtime/Logic Error,Missing Authentication Backend Configuration,Authentication backend is not properly configured.,400,High,High,Configure the correct authentication backend.,,,
34,3,Runtime/Logic Error,Weak Secret Key Used for JWT Signing,JWT secret lacks sufficient complexity.,400,Critical,Critical,Use a strong randomly generated secret.,,,
35,3,Runtime/Logic Error,JWT Audience Validation Missing,Token audience claims are not validated.,400,High,High,Validate the audience claim during verification.,,,
36,3,Runtime/Logic Error,JWT Issuer Validation Not Configured,Issuer claims are ignored during validation.,400,Medium,Medium,Validate issuer claims against trusted values.,,,
37,3,Runtime/Logic Error,Token Refresh Endpoint Exposed Without Rate Limiting,Refresh endpoint can be abused through repeated requests.,400,Medium,Medium,Apply rate limiting to token endpoints.,,,
38,3,Runtime/Logic Error,User Session Remains Active After Logout,Users can continue using tokens after logout.,400,High,High,Revoke or blacklist tokens during logout.,,,
39,3,Runtime/Logic Error,Access Token Accepted After Expiration,Expired access tokens continue to be accepted.,401,Critical,Critical,Verify expiration timestamps strictly.,,,
40,3,Runtime/Logic Error,Permission Class Misconfigured in API Settings,Invalid permission class path causes authorization issues.,401,High,High,Use valid DRF permission classes.,,,
41,3,Runtime/Logic Error,Missing Role-Based Access Control,User roles are not enforced consistently.,403,High,High,Implement role-based permissions.,,,
